Name,hb473,hb540
Alvarado,yea,yea
Bowen,yea,yea
Buford,yea,yea
Carpenter,yea,yea
Carroll,yea,yea
Carroll,yea,yea
Clark,yea,yea
Embry,yea,yea
Girdler,yea,yea
Givens,yea,yea
Harper,yea,yea
Harris,yea,yea
Hiqdon,yea,yea
Hornback,yea,yea
Humphries,yea,yea
Jones,yea,yea
Kerr,yea,yea
Mcaniel,yea,yea
McGarvey,yea,yea
Meredith,yea,yea
Neal,yea,yea
Parrett,yea,yea
Raque,yea,yea
Ridley,yea,yea
Robinson,yea,yea
Schickel,yea,yea
Schroder,yea,yea
Seum,yea,yea
Smith,yea,yea
Stivers,yea,yea
Thayer,yea,yea
Thomas,yea,yea
Turner,yea,yea
Webb,yea,yea
West,yea,yea
Westerfield,yea,yea
Wilson,yea,yea
Wise,yea,yea
