"legislator_id","district_id","session_id"
1,"S36","ga2017"
2,"H99","ga2017"
3,"S28","ga2017"
4,"H4","ga2017"
5,"H98","ga2017"
6,"H88","ga2017"
7,"H92","ga2017"
8,"S8","ga2017"
9,"H29","ga2017"
10,"H77","ga2017"
11,"H95","ga2017"
12,"S22","ga2017"
13,"H82","ga2017"
14,"H30","ga2017"
15,"H38","ga2017"
16,"H51","ga2017"
17,"S34","ga2017"
18,"S2","ga2017"
19,"S7","ga2017"
20,"H14","ga2017"
21,"S37","ga2017"
22,"H90","ga2017"
23,"H6","ga2017"
24,"H17","ga2017"
25,"H37","ga2017"
26,"H9","ga2017"
27,"H25","ga2017"
28,"H54","ga2017"
29,"S6","ga2017"
30,"H68","ga2017"
31,"H48","ga2017"
32,"H75","ga2017"
33,"H84","ga2017"
34,"H46","ga2017"
35,"S15","ga2017"
36,"S9","ga2017"
37,"H12","ga2017"
38,"H57","ga2017"
39,"H27","ga2017"
40,"H74","ga2017"
41,"S35","ga2017"
42,"H93","ga2017"
43,"S26","ga2017"
44,"H78","ga2017"
45,"H94","ga2017"
46,"H2","ga2017"
47,"H91","ga2017"
48,"S14","ga2017"
49,"H83","ga2017"
50,"H40","ga2017"
51,"S20","ga2017"
52,"S1","ga2017"
53,"H5","ga2017"
54,"H44","ga2017"
55,"H13","ga2017"
56,"H49","ga2017"
57,"S31","ga2017"
58,"H56","ga2017"
59,"H67","ga2017"
60,"S12","ga2017"
61,"H55","ga2017"
62,"H69","ga2017"
63,"H45","ga2017"
64,"H61","ga2017"
65,"H34","ga2017"
66,"H73","ga2017"
67,"H50","ga2017"
68,"S23","ga2017"
69,"S19","ga2017"
70,"H80","ga2017"
71,"H42","ga2017"
72,"H19","ga2017"
73,"S5","ga2017"
74,"H39","ga2017"
75,"H7","ga2017"
76,"H28","ga2017"
77,"H36","ga2017"
78,"H11","ga2017"
79,"H32","ga2017"
80,"H18","ga2017"
81,"H81","ga2017"
82,"H64","ga2017"
83,"S33","ga2017"
84,"H87","ga2017"
85,"H33","ga2017"
86,"H59","ga2017"
87,"H72","ga2017"
88,"H43","ga2017"
89,"H76","ga2017"
90,"S10","ga2017"
91,"H16","ga2017"
92,"H62","ga2017"
93,"H15","ga2017"
94,"H89","ga2017"
95,"H47","ga2017"
96,"H24","ga2017"
97,"H20","ga2017"
98,"S4","ga2017"
99,"H31","ga2017"
100,"H23","ga2017"
101,"S21","ga2017"
102,"H58","ga2017"
103,"H21","ga2017"
104,"H1","ga2017"
105,"H60","ga2017"
106,"H10","ga2017"
107,"S11","ga2017"
108,"S24","ga2017"
109,"H41","ga2017"
110,"S38","ga2017"
111,"H71","ga2017"
112,"H65","ga2017"
113,"H70","ga2017"
114,"H100","ga2017"
115,"S30","ga2017"
116,"H63","ga2017"
117,"H86","ga2017"
118,"S25","ga2017"
119,"H22","ga2017"
120,"S17","ga2017"
121,"S13","ga2017"
122,"H8","ga2017"
123,"H53","ga2017"
124,"S29","ga2017"
125,"H85","ga2017"
126,"H52","ga2017"
127,"H3","ga2017"
128,"H35","ga2017"
129,"S18","ga2017"
130,"H26","ga2017"
131,"H97","ga2017"
132,"S27","ga2017"
133,"S3","ga2017"
134,"H79","ga2017"
135,"S32","ga2017"
136,"S16","ga2017"
137,"H66","ga2017"
138,"H96","ga2017"
