Name,SB146,Corrected SB146
Adkins,YEA,YEA
Bechler,YEA,YEA
Bentley,YEA,YEA
Benvenuti,YEA,YEA
Blanton,YEA,YEA
Bratcher,YEA,YEA
Brown G,YEA,YEA
Brown L,YEA,YEA
Bunch,YEA,YEA
Burch,YEA,YEA
Cantrell,YEA,YEA
Carney,YEA,YEA
Castlen,YEA,YEA
Couch,YEA,YEA
Coursey,YEA,YEA
DeCesare,YEA,YEA
Donohue,YEA,YEA
Dossett,YEA,YEA
DuPlessis,YEA,YEA
Elliott,YEA,YEA
Fischer,YEA,YEA
Fleming,NV,YEA
Flood,YEA,YEA
Fugate,YEA,YEA
Gentry,YEA,YEA
Gooch,YEA,YEA
Graham,YEA,YEA
Greer,YEA,YEA
Hale,NV,YEA
Harris,YEA,YEA
Hart,YEA,YEA
Hatton,YEA,YEA
Heath,YEA,YEA
Herald,YEA,YEA
Hoover,YEA,NV
Horlander,YEA,YEA
Imes,YEA,YEA
Jenkins,YEA,YEA
Johnson D,,YEA
Johnson DJ,,YEA
Kay,,YEA
Keene,,YEA
King,,YEA
Koenig,,YEA
Lee,,YEA
Linder,,YEA
Marzian,,YEA
Mayfield,,YEA
McCoy,,YEA
Meade,,YEA
Meeks,,NAY
Meredith,,YEA
Meyer,,NV
Miles,,NV
Miller C,,NV
Miller J,,YEA
Mills,,YEA
Moffett,,YEA
Moore,,YEA
Morgan,,NV
Moser,,YEA
Nelson,,YEA
Nemes,,YEA
Osborne,,YEA
Overly,,YEA
Owens,,YEA
Palumbo,,YEA
Petrie,,YEA
Pratt,,YEA
Prunty,,YEA
Rader,,NV
Rand,,YEA
Reed,,YEA
Richards,,YEA
Riggs,,YEA
Riley,,YEA
Rothenburger,,YEA
Rowland,,YEA
Rudy,,YEA
Santoro,,YEA
Schamore,,YEA
Scott,,YEA
Shell,,YEA
Simpson,,YEA
Sims,,YEA
Sinnette,,YEA
St. Onge,,YEA
Stewart,,YEA
Stone,,YEA
Thomas,,YEA
Tipton,,YEA
Turner,,YEA
Upchurch,,YEA
Watkins,,YEA
Wayne,,YEA
Webber,,YEA
Wells,,YEA
Westrom,,YEA
Wuchner,,YEA
York,,YEA
